metric,model,mae,rmse,mape,mase,n
bookings,Prophet,528.2585984941545,555.4894118424083,12.650407748325637,0.04236634346895453,30
bookings,XGBoost,,,,,0
bookings,SARIMA,,,,,0
search_demand,Prophet,932.7793132883165,974.4402135562354,13.310954881117121,0.03799541479351117,30
search_demand,XGBoost,,,,,0
search_demand,SARIMA,,,,,0
adr,Prophet,0.6819190074226213,0.8699704727891947,0.46073247075477336,0.01571036763388058,30
adr,XGBoost,,,,,0
adr,SARIMA,,,,,0
cancellations,Prophet,44.64303884531543,49.70029215604807,9.022678038983486,0.02950086208643122,30
cancellations,XGBoost,,,,,0
cancellations,SARIMA,,,,,0
